ID;Nome Completo;Idade;CPF;Sexo;Estado Civil;E-mail;Telefone;Cidade;Estado;Marca;Modelo;Ano_fabricacao;Cor;Valor_venda;Data_venda;Forma_pagamento
54;Catarina Santos;58;879.135.604-01;Feminino;Viúvo;gferreira@example.org;+55 81 1568 4387;Farias de Sales;PA;Peugeot;208;2023;Branco;126645.07;2020-07-02;Consórcio
55;Antonella Ramos;40;391.826.057-77;Feminino;Viúvo;guerraalana@example.com;31 2976-1939;Pacheco do Campo;SC;Toyota;Camry;2017;Azul;61859.34;2020-05-31;À vista
56;Isis Macedo;45;928.543.017-14;Feminino;Solteiro;benicio74@example.com;(021) 5186-3123;Garcia Verde;MG;Ford;Ka;2013;Verde;87063.35;2020-10-29;À vista
57;Ravi das Neves;51;714.253.698-55;Masculino;Divorciado;laura17@example.org;+55 81 3608-7168;Gonçalves;AL;Ford;Territory;2020;Verde;59075.53;2021-12-26;Consórcio
58;Raquel Cassiano;63;376.129.054-34;Feminino;Viúvo;zcavalcanti@example.org;+55 (081) 5245 9250;Sampaio dos Dourados;MS;Ford;Territory;2021;Cinza;62862.32;2021-10-16;Consórcio
59;Natália Nogueira;46;547.061.823-44;Feminino;Divorciado;luiz-otaviocardoso@example.com;(041) 4263 6495;Siqueira Alegre;SC;Toyota;Corolla Cross;2016;Verde;249551.55;2022-02-20;Financiamento
60;Isadora Ramos;32;564.172.903-52;Feminino;Solteiro;heloisa80@example.com;51 9151 3055;Siqueira;SC;Peugeot;2008;2020;Branco;144818.57;2024-03-30;À vista
61;Mirella Barros;42;986.327.541-73;Feminino;Viúvo;luan67@example.com;+55 11 0385 1033;Silveira;MA;Peugeot;208;2017;Cinza;136388.2;2021-03-07;Financiamento
62;Lucas Gabriel Pacheco;50;512.438.790-41;Masculino;Divorciado;afreitas@example.net;0300-662-3366;Cardoso de da Luz;AC;Peugeot;3008;2021;Preto;187467.31;2024-08-23;À vista
63;Luiza Caldeira;25;729.065.438-29;Feminino;Solteiro;borgeslunna@example.com;0900-408-2793;Monteiro do Galho;RO;Peugeot;2008;2020;Cinza;100236.0;2019-04-08;Financiamento
64;Mirella Casa Grande;50;127.086.395-95;Feminino;Viúvo;augustomoreira@example.com;31 5548 3670;Sales Grande;MS;Hyundai;HB20S;2020;Cinza;196437.82;2024-10-07;Consórcio
65;Gael Sousa;42;684.012.957-85;Masculino;Viúvo;sfarias@example.net;+55 81 0201 2718;Cavalcanti das Flores;MT;Toyota;Yaris;2017;Branco;43536.48;2022-09-30;Financiamento
66;Cecília Abreu;63;354.197.286-64;Feminino;Solteiro;macedoaugusto@example.com;0800 271 6339;Almeida;AL;Fiat;Fiorino;2022;Vermelho;168383.63;2019-06-14;Financiamento
67;Arthur da Paz;65;970.283.165-21;Masculino;Solteiro;davi-luizmontenegro@example.com;+55 61 8151 9934;Correia da Mata;AM;Toyota;Yaris;2017;Azul;238100.49;2023-05-14;Consórcio
68;Guilherme Barbosa;41;850.274.639-10;Masculino;Solteiro;freitasanthony@example.com;(084) 6422-6746;Almeida;PE;Fiat;Pulse;2016;Verde;191465.65;2019-06-14;Financiamento
69;Esther Cavalcante;24;601.432.587-53;Feminino;Divorciado;barbosaeloah@example.com;(071) 6173 5838;Melo Paulista;AL;Peugeot;Partner;2016;Branco;77493.5;2020-09-07;Consórcio
70;Gustavo Henrique Rodrigues;47;518.904.263-42;Masculino;Solteiro;pimentahelena@example.com;+55 31 1257-1752;Nogueira;ES;Fiat;Strada;2022;Cinza;121501.17;2025-03-10;À vista
71;Rafaela Vasconcelos;62;738.950.162-68;Feminino;Divorciado;yvieira@example.org;+55 (051) 4108 6212;Aragão Alegre;PR;Chevrolet;S-10;2019;Branco;177965.02;2021-07-14;Consórcio
72;Bruno Pacheco;52;625.104.893-05;Masculino;Solteiro;isis49@example.com;31 5088-9647;Cavalcanti Verde;RO;Honda;Fit;2014;Prata;141177.92;2024-11-14;À vista
73;Lucas Gabriel Sá;69;076.539.182-12;Masculino;Solteiro;ypimenta@example.com;+55 (071) 6556-4081;da Paz dos Dourados;DF;Peugeot;208;2014;Prata;189497.75;2024-03-22;Consórcio
74;Pietro Rodrigues;28;538.902.471-05;Masculino;Casado;sgoncalves@example.org;+55 51 9408 7889;Barros da Praia;AM;Peugeot;Partner;2016;Branco;138317.88;2022-10-14;Financiamento
75;Thomas Montenegro;31;357.960.248-92;Masculino;Solteiro;cecilia97@example.org;+55 61 6179-0894;Mendonça;SE;Toyota;Corolla;2017;Verde;40062.12;2021-08-07;Financiamento
76;Laura Costela;35;845.370.169-57;Feminino;Solteiro;garciaravi-lucca@example.net;(041) 3133 5420;Cavalcante de Ribeiro;PR;Honda;CR-V;2017;Preto;230077.08;2022-12-16;Consórcio
77;Augusto Freitas;62;261.948.750-11;Masculino;Viúvo;cpinto@example.net;(041) 5220 0046;Sá Verde;RR;Hyundai;HB20;2020;Prata;68911.61;2020-11-28;Financiamento
78;Ian Machado;68;352.406.871-53;Masculino;Solteiro;heloisa34@example.com;+55 (081) 5943-9185;Gomes Verde;AM;Fiat;Cronos;2022;Prata;203760.09;2020-06-07;Financiamento
79;Clara Cunha;53;391.672.504-16;Feminino;Viúvo;qcirino@example.net;+55 (071) 0739-9871;Aragão;PA;Ford;Ka;2020;Azul;205317.9;2019-02-04;Consórcio
80;Rafaela Santos;55;659.013.427-80;Feminino;Casado;jose-pedro91@example.com;0300 392 0540;Sousa;AL;Toyota;Yaris;2019;Prata;96804.43;2020-12-27;Financiamento
81;Ana Luiza Sousa;67;217.035.964-80;Feminino;Solteiro;wabreu@example.org;+55 (021) 3453 7396;Silveira;SC;Honda;CR-V;2015;Azul;174948.02;2023-08-07;À vista
82;André Machado;46;521.609.347-80;Masculino;Divorciado;scorreia@example.net;0500-705-1421;Campos do Amparo;PB;Honda;City;2019;Cinza;155262.16;2024-01-26;À vista
83;Davi Luiz Cunha;52;530.126.498-24;Masculino;Divorciado;nicole46@example.com;0500-056-3017;Alves das Flores;PR;Ford;Focus;2021;Preto;44132.52;2024-01-04;Consórcio
84;Isabelly Cassiano;61;478.531.296-37;Feminino;Casado;joaquim63@example.net;+55 84 8181-9258;Campos do Sul;PI;Ford;Ka Sedan;2016;Cinza;87950.24;2022-11-06;Consórcio
85;Aylla Lopes;31;943.812.605-89;Feminino;Casado;qlopes@example.net;0300-935-0912;Novaes;PR;Honda;City;2022;Cinza;225073.81;2022-12-17;Consórcio
86;Yuri Montenegro;35;853.612.970-03;Masculino;Casado;oliviafernandes@example.net;+55 (021) 2377-5295;Brito;PI;Honda;HR-V;2021;Branco;183061.62;2018-06-15;Consórcio
87;Bernardo Ramos;33;046.359.728-10;Masculino;Viúvo;heloisa08@example.org;+55 81 7509-7816;Moraes;MG;Peugeot;Partner;2022;Preto;86889.64;2018-12-05;À vista
88;Francisco Correia;47;492.087.653-00;Masculino;Viúvo;fmendes@example.org;+55 (061) 8229 1467;da Paz do Norte;DF;Honda;CR-V;2020;Vermelho;206138.27;2017-10-17;Financiamento
89;Rafaela Fonseca;51;587.146.920-58;Feminino;Solteiro;vpimenta@example.com;(051) 3111-2358;Castro;SP;Ford;Ranger;2017;Preto;116500.43;2021-08-06;À vista
90;Maria Sophia Silveira;24;823.469.715-37;Feminino;Casado;jporto@example.com;81 0728 9250;Ramos;MS;Ford;Ka Sedan;2021;Cinza;43727.85;2021-05-12;Consórcio
91;Ana Luiza Silveira;37;543.629.801-05;Feminino;Viúvo;ana-laura48@example.com;0500-714-4130;Novaes;AL;Honda;Fit;2021;Cinza;136979.33;2017-12-26;Financiamento
92;Aylla Almeida;57;524.870.139-23;Feminino;Divorciado;garciayan@example.org;(051) 3159 8095;Carvalho de Moraes;TO;Honda;Fit;2014;Prata;57793.8;2024-11-05;Consórcio
93;Paulo da Mota;41;125.864.937-37;Masculino;Solteiro;arthurribeiro@example.com;(021) 0160-4906;Novaes;AP;Chevrolet;Tracker;2022;Vermelho;84738.39;2022-04-20;À vista
94;Olívia Araújo;43;643.508.921-33;Feminino;Divorciado;raulcamargo@example.com;(041) 5122 5060;Duarte;MG;Ford;Focus;2018;Branco;37151.81;2020-01-31;Consórcio
95;Apollo Pacheco;41;195.706.483-84;Masculino;Casado;catarinapacheco@example.net;(071) 9333-2469;da Cruz das Pedras;PR;Honda;CR-V;2019;Verde;103452.3;2022-04-19;Consórcio
96;Agatha Pires;55;238.975.604-29;Feminino;Solteiro;alvespietro@example.org;(061) 8075-3283;Silveira de Goiás;AC;Toyota;Yaris;2015;Branco;195105.59;2019-04-17;Consórcio
97;Melissa Albuquerque;67;563.908.724-29;Feminino;Casado;borgestheodoro@example.net;+55 21 1404 1905;Novaes;ES;Toyota;Corolla;2021;Preto;91078.44;2017-12-20;Financiamento
98;Gustavo Henrique Rodrigues;60;058.342.691-33;Masculino;Solteiro;joanada-cunha@example.net;81 8339 3674;Moraes;PE;Toyota;Etios;2015;Prata;235580.04;2020-11-20;Consórcio
99;Gael Henrique Porto;64;579.318.604-20;Masculino;Viúvo;agathaalbuquerque@example.net;+55 (071) 3984-7804;Duarte de Alves;AL;Volskwagen;Polo;2022;Cinza;143004.86;2020-04-14;À vista
100;Emilly Garcia;23;594.683.710-93;Feminino;Viúvo;maysa90@example.com;84 9418-1070;Nogueira do Oeste;AC;Toyota;Corolla;2017;Prata;82154.45;2022-05-05;Financiamento
101;Yasmin Cardoso;57;037.926.415-34;Feminino;Casado;ana-julia96@example.org;+55 (051) 5017 2005;Aragão do Campo;RS;Peugeot;3008;2015;Cinza;123822.45;2019-07-06;Consórcio
102;Alexandre Aragão;51;761.402.895-30;Masculino;Solteiro;jade80@example.com;+55 (051) 6662 1147;Almeida;CE;Chevrolet;Cruze;2016;Azul;170096.29;2025-03-05;Consórcio
103;Maria Isis da Cunha;40;268.049.513-60;Feminino;Solteiro;da-conceicaoana-cecilia@example.net;(021) 5939-7666;Nogueira da Mata;MS;Volskwagen;Up;2018;Cinza;233119.63;2021-03-22;Financiamento
104;Brenda Cavalcanti;62;578.324.910-60;Feminino;Viúvo;pereiraana-clara@example.net;21 3421 9394;Siqueira;GO;Toyota;Camry;2017;Branco;222097.21;2024-07-18;Financiamento
105;Yasmin Vargas;57;897.402.561-20;Feminino;Casado;qmoreira@example.org;+55 (021) 7973-3460;Abreu;CE;Volskwagen;Polo;2016;Vermelho;198290.59;2023-06-13;Financiamento
106;Marina Sales;64;412.067.853-90;Feminino;Solteiro;luiz-felipe70@example.net;+55 (041) 8718 9738;Farias das Flores;CE;Fiat;Fastback;2021;Branco;199190.45;2019-08-04;Consórcio
107;Lara Viana;67;846.579.203-83;Feminino;Divorciado;vitoria17@example.net;(021) 7836-4424;Costa das Pedras;MT;Ford;Ka Sedan;2014;Vermelho;91063.89;2019-09-06;Financiamento
108;Gustavo Martins;56;340.657.928-00;Masculino;Divorciado;alexia75@example.com;+55 51 6657 4810;Ribeiro;RR;Hyundai;Creta;2018;Prata;62639.32;2019-09-15;Consórcio
109;Maria Luísa Cunha;52;635.182.047-26;Feminino;Viúvo;ana-livia26@example.org;41 8873-0438;da Rocha;RJ;Toyota;Hilux;2017;Vermelho;210280.95;2018-03-22;Financiamento
110;Luiz Felipe Santos;62;425.783.091-32;Masculino;Viúvo;mcavalcante@example.com;+55 (011) 3663 4759;Barbosa;RS;Peugeot;Partner;2019;Branco;138784.3;2021-12-31;À vista
111;Davi Lucca Garcia;45;297.831.450-88;Masculino;Viúvo;pereiradavi-lucca@example.com;+55 (021) 5950-3139;Moraes;AM;Peugeot;Partner;2015;Branco;123062.48;2020-12-12;Consórcio
112;Catarina Rezende;29;417.283.569-46;Feminino;Solteiro;igorgarcia@example.com;0300-731-3937;Sampaio;AC;Honda;Fit;2013;Branco;242293.2;2018-03-03;Consórcio
113;Laís Cirino;22;341.296.087-03;Feminino;Viúvo;alice80@example.com;0300-541-9253;da Rosa;RJ;Ford;Territory;2016;Azul;53291.18;2018-09-27;À vista
114;Carolina Macedo;31;190.583.467-57;Feminino;Viúvo;eduardocorreia@example.net;+55 (084) 9548-5246;da Mata do Amparo;PE;Peugeot;308;2018;Cinza;164426.18;2017-06-29;Financiamento
115;Rebeca Souza;43;093.257.681-86;Feminino;Solteiro;ravi-luccarodrigues@example.com;+55 (031) 6291 8686;Alves de Goiás;MG;Volskwagen;Polo;2015;Prata;164355.27;2024-09-17;Consórcio
116;Carolina Barbosa;34;806.593.241-05;Feminino;Viúvo;ceciliajesus@example.com;+55 (021) 1216 4079;Costela de Macedo;AC;Toyota;Hilux;2021;Branco;93622.41;2017-07-22;Financiamento
117;Pedro Miguel Ramos;19;912.385.064-70;Masculino;Casado;xfonseca@example.net;+55 (051) 2897 6581;Peixoto da Praia;PR;Peugeot;3008;2023;Vermelho;60332.85;2023-08-20;Consórcio
118;Davi Lucas Câmara;60;295.360.417-07;Masculino;Viúvo;eda-costa@example.org;+55 31 0900 7644;Melo;RR;Fiat;Pulse;2021;Branco;171322.83;2020-07-27;Financiamento
119;Heloísa Marques;38;216.047.589-02;Feminino;Casado;da-cunhaisis@example.org;41 9129 9279;Jesus do Campo;SC;Fiat;Strada;2019;Verde;120243.28;2017-11-15;Consórcio
120;Gael Henrique Santos;18;475.082.316-35;Masculino;Solteiro;zalves@example.org;71 7783 9635;Azevedo;AP;Peugeot;208;2016;Preto;76432.13;2018-06-25;À vista
121;Nicole Pires;46;754.130.698-39;Feminino;Casado;wdas-neves@example.com;0500-818-0083;Farias;RR;Volskwagen;Saveiro;2022;Branco;57815.32;2023-11-12;Consórcio
122;Isis Mendes;37;572.904.863-74;Feminino;Casado;lunnacampos@example.org;31 9171 9095;Cirino do Galho;SE;Peugeot;Partner;2020;Branco;109747.22;2017-09-09;Financiamento
123;Maria Alice Siqueira;60;428.195.730-88;Feminino;Viúvo;pmacedo@example.org;+55 11 7905 0196;Fonseca da Prata;MA;Toyota;Corolla Cross;2016;Vermelho;190193.06;2019-04-28;Consórcio
124;Isabel Martins;68;956.027.318-30;Feminino;Casado;onogueira@example.com;(011) 5847-5943;Fonseca;SP;Toyota;Camry;2018;Vermelho;40572.91;2022-01-22;Financiamento
125;Heloisa Barbosa;62;547.821.936-37;Feminino;Divorciado;rodriguesluiz-henrique@example.net;+55 41 4463-7017;Aragão do Sul;RR;Toyota;Yaris;2020;Branco;87394.44;2018-05-05;À vista
126;Cecilia Caldeira;60;087.312.954-79;Feminino;Viúvo;vasconcelosmaria-vitoria@example.net;+55 (021) 6742 7025;Freitas;SP;Ford;Ranger;2021;Branco;247657.8;2024-03-08;Financiamento
127;Brenda Machado;57;641.973.028-78;Feminino;Divorciado;wda-rosa@example.com;0800 522 6179;Cirino;RJ;Ford;Focus;2017;Azul;104271.17;2022-12-05;Consórcio
128;Maria Liz Santos;57;419.235.078-50;Feminino;Casado;cpinto@example.com;+55 (081) 8384 4483;Moura da Prata;PE;Toyota;Corolla Cross;2013;Prata;244361.88;2020-01-05;Consórcio
129;Melissa Pastor;39;832.104.756-44;Feminino;Viúvo;cpacheco@example.net;+55 41 0182 4299;Garcia;MA;Honda;CR-V;2023;Preto;231736.6;2024-11-27;Financiamento
130;Levi Casa Grande;28;125.763.894-73;Masculino;Casado;cecilia50@example.org;(084) 1099 8526;Jesus;RO;Chevrolet;Onix;2019;Prata;159479.83;2023-10-06;Consórcio
131;Augusto Sales;18;079.314.856-10;Masculino;Solteiro;nicolasaraujo@example.org;+55 (041) 7077 3433;Aragão das Pedras;DF;Ford;Ranger;2017;Azul;160872.83;2021-06-12;À vista
132;Ana Beatriz Melo;50;137.045.986-66;Feminino;Solteiro;aribeiro@example.com;(011) 8328 4783;Gomes da Mata;SP;Toyota;Corolla;2018;Branco;32574.82;2019-01-22;À vista
133;Marcos Vinicius Cavalcante;34;713.984.562-09;Masculino;Divorciado;jfogaca@example.com;(084) 1769 4984;da Luz Verde;PB;Volskwagen;Saveiro;2019;Preto;58813.18;2020-01-11;À vista
134;Melissa da Conceição;40;845.673.209-56;Feminino;Divorciado;marianesilveira@example.com;+55 (051) 9514-6968;Aparecida;MG;Honda;Civic;2021;Preto;37044.4;2018-01-06;Financiamento
135;Isabel Pereira;35;210.856.934-06;Feminino;Viúvo;gabrielpimenta@example.org;81 4145 0801;Farias de Rios;RJ;Toyota;Yaris;2023;Vermelho;58031.09;2024-01-18;Consórcio
136;Catarina Duarte;20;437.650.291-06;Feminino;Viúvo;joao-pedro60@example.org;84 1195-3389;da Cunha;AM;Ford;Territory;2015;Azul;247170.82;2020-09-20;Consórcio
137;Maria Cirino;38;614.928.573-19;Feminino;Casado;tferreira@example.net;81 4716-0100;Sampaio Grande;DF;Honda;Fit;2013;Azul;179753.27;2020-11-11;À vista
138;Ana Laura Pimenta;24;685.920.731-03;Feminino;Casado;da-rosaisaac@example.net;+55 (071) 5084-7869;Cunha da Praia;BA;Honda;CR-V;2022;Prata;42575.05;2022-11-18;Financiamento
139;Pietro Moura;69;846.972.310-31;Masculino;Viúvo;josuemendonca@example.com;(071) 0885-8166;Castro;ES;Toyota;Corolla;2019;Cinza;153851.37;2025-04-15;Financiamento
